Consultant;Main_New_Gloss;D_Start_HS;N-D_Start_HS;D_End_HS;N-D_End_HS;Passive_Arm;Start;End;Session_Scene
Liz;GROW-UP;B-L;;B-L;;N;2775;2835;ASL_2008_02_295
Brady;GROW-UP;bent-B;;bent-B;;N;1802;1831;ASL_2011_07_19_Brady50
Liz;MAXIMUM;B-L;B-L;B-L;B-L;N;2655;2710;ASL_2008_02_155
Tyler;MAXIMUM;B-L;B-L;B-L;B-L;N;1820;1860;ASL_2008_06_1015
Naomi;MORE-THAN;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;2657;2675;ASL_2008_08_044
Liz;LESS-THAN;bent-B;bent-B;bent-B;bent-B;N;495;520;ASL_2008_01_1140
Tyler;LESS-THAN;bent-B-L;bent-B-L;B-L;bent-B-L;N;3850;3876;ASL_2008_05_12a25
Naomi;LESS-THAN;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;3140;3165;ASL_2008_08_0426
Naomi;LESS-THAN;bent-B-L;bent-B-L;B-L;bent-B-L;N;3380;3400;ASL_2008_08_0426
Brady;LESS-THAN;bent-B-L;bent-B-L;bent-B-L;bent-B-L;N;5325;5353;ASL_2011_06_08_Brady19
Liz;THAN;B;B;B;Rlxd;N;2316;2329;ASL_2008_03_288
Brady;THAN;B-L;bent-B-L;B-L;bent-B-L;N;2328;2339;ASL_2011_07_19_Brady112
Liz;UNDER;10;B-L;10;B-L;N;1360;1390;ASL_2008_03_2827
Brady;UNDER;10;B-L;10;B-L;N;2378;2396;ASL_2011_07_22_Brady15
Brady;UNDER;10;B-L;10;B-L;N;1880;1900;ASL_2011_07_22_Brady56
Tyler;BASEMENT;10;B-L;10;B-L;N;715;760;ASL_2008_05_12a21
Naomi;BASEMENT;10;B-L;10;B-L;N;1422;1470;ASL_2008_08_0421
Brady;BASEMENT;10;flat-B;10;10;N;8165;8191;ASL_2011_06_08_Brady16
Liz;UPPER;B-L;;B-L;;N;2505;2535;ASL_2008_03_2828
Brady;UPPER;B;;B;;N;964;994;ASL_2011_07_22_Brady17
Liz;BELOW;B;B-L;B-L;B-L;N;725;751;ASL_2008_01_1140
Tyler;BELOW;B-L;B-L;B-L;B-L;N;3530;3556;ASL_2008_05_12a25
Brady;BELOW;B;bent-B-L;B;bent-B-L;N;5860;5887;ASL_2011_06_08_Brady19
Brady;BELOW;B;B-L;B;B-L;N;2532;2564;ASL_2011_07_22_Brady38
Naomi;BELOW_2;B-L;B-L;B-L;B-L;N;860;908;ASL_2008_08_0422
Brady;BELOW_2;B-L;B-L;B-L;B-L;N;8461;8496;ASL_2011_06_08_Brady16
Liz;ELEMENTARY;E;flat-B;E;flat-B;N;705;745;ASL_2008_01_1830
Tyler;ELEMENTARY;loose-E;B-L;loose-E;B-L;N;470;515;ASL_2008_05_29a10
Naomi;ELEMENTARY;loose-E;B-L;loose-E;B-L;N;581;616;ASL_2008_08_0630
Brady;ELEMENTARY;E;B-L;E;B-L;N;2250;2282;ASL_2011_06_14_Brady11
Liz;ACCEPT;5;5;flat-O;flat-O;N;1565;1605;ASL_2008_01_115
Tyler;ACCEPT;5;5;flat-O;flat-O;N;1351;1375;ASL_2008_05_12a4
Naomi;ACCEPT;5;5;flat-O;flat-O;N;2903;2930;ASL_2008_08_044
Lana;ACCEPT;5;5;flat-O;flat-O;N;272;283;ASL_2006_10_102
Dana;ACCEPT;5;5;flat-O;flat-O;N;278;317;ASL_2007_05_245
Liz;ACCIDENT;S;S;S;S;N;2015;2041;ASL_2008_01_115
Naomi;ACCIDENT;S;S;S;S;N;3407;3438;ASL_2008_08_044
Liz;ACCIDENT;5;5;A;A;N;1795;1840;ASL_2008_01_115
Naomi;ACCIDENT;5;5;10;10;N;3147;3174;ASL_2008_08_044
Lana;ACCIDENT;5;5;S;S;N;519;562;ASL_2006_10_102
Dana;ACCIDENT;5;5;S;S;N;632;660;ASL_2007_05_245
Tyler;ACCIDENT;3;3;S;A;N;1705;1725;ASL_2008_05_12a4
Liz;(5)CRASH;5;B-L;S;B-L;N;266;297;ASL_2008_01_188
Tyler;(5)CRASH;5;B-L;A;B-L;N;3299;3335;ASL_2008_05_12b7
Naomi;(5)CRASH;5;5;A;5;N;4397;4430;ASL_2008_08_067
Brady;(5)CRASH;5;5;S;5;N;3061;3084;ASL_2011_06_08_Brady31
Liz;ACCOMPANY;A;A;A;A;N;2241;2280;ASL_2008_01_115
Naomi;ACCOMPANY;A;A;A;A;N;3809;3828;ASL_2008_08_044
Liz;TOGETHER/GO-STEADY;A;A;A;A;N;280;360;ASL_2008_02_018
Liz;TOGETHER/GO-STEADY;10;10;10;10;N;1425;1460;ASL_2008_03_2819
Naomi;TOGETHER/GO-STEADY;A;A;A;A;N;3900;3940;ASL_2008_08_136
Brady;TOGETHER/GO-STEADY;A;A;A;A;N;1225;1263;ASL_2011_06_14_Brady27
Brady;TOGETHER/GO-STEADY;A;A;A;A;N;1764;1811;ASL_2011_07_22_Brady7
Liz;TOGETHER/GO-STEADY;A;A;A;A;N;1510;1555;ASL_2008_01_1112
Tyler;TOGETHER/GO-STEADY;A;A;A;A;N;1590;1630;ASL_2008_05_12a10
Naomi;TOGETHER/GO-STEADY;A;A;A;A;N;1237;1277;ASL_2008_08_049
Tyler;(1)GO-STEADY;1;1;1;1;N;3070;3145;ASL_2008_05_29a38
Liz;BLAME;10;A;10;A;N;1005;1040;ASL_2008_01_116
Liz;BLAME;10;A;10;A;N;535;560;ASL_2008_01_1145
Tyler;BLAME;10;A;10;A;N;3517;3540;ASL_2008_05_12a6
Tyler;BLAME;10;S;10;S;N;710;740;ASL_2008_05_12a28
Naomi;BLAME;10;A;10;A;N;4460;4490;ASL_2008_08_044
Naomi;BLAME;10;S;10;S;N;1030;1047;ASL_2008_08_0429
Brady;BLAME;10;10;10;10;N;10451;10463;ASL_2011_06_08_Brady21
Brady;BLAME;10;Rlxd;10;Rlxd;Y;3002;3025;ASL_2011_07_22_Brady38
Liz;BLAME;10;S;10;S;N;751;810;ASL_2008_02_1514
Brady;BLAME;10;10;10;10;N;532;571;ASL_2011_07_22_Brady48
Liz;OVER/AFTER;B-L;B;B-L;B;N;1320;1360;ASL_2008_01_116
Liz;OVER/AFTER;B-L;B;B-L;B;N;546;580;ASL_2008_01_119
Liz;OVER/AFTER;B;B;B;B;N;2195;2245;ASL_2008_02_1528
Tyler;OVER/AFTER;flat-B;flat-B;flat-B;flat-B;N;3730;3760;ASL_2008_05_12a6
Tyler;OVER/AFTER;B-L;B;B-L;B;N;360;387;ASL_2008_05_12a8
Naomi;OVER/AFTER;B-L;B;B-L;B;N;410;425;ASL_2008_08_045
Naomi;OVER/AFTER;B-L;B;B-L;B;N;395;418;ASL_2008_08_047
Brady;OVER/AFTER;B-L;B;B-L;B;N;6594;6614;ASL_2011_06_08_Brady9
Liz;ACT;A;A;A;A;N;1605;1670;ASL_2008_01_116
Liz;ACT;A;A;A;A;N;1387;1445;ASL_2008_01_1823
Tyler;ACT;10;10;10;10;N;3940;3985;ASL_2008_05_12a6
Tyler;ACT;10;10;10;10;N;1620;1665;ASL_2008_05_29a3
Naomi;ACT;A;A;A;A;N;597;658;ASL_2008_08_045
Naomi;ACT;A;A;A;A;N;1290;1342;ASL_2008_08_0623
Brady;ACT;A;A;A;A;N;7080;7105;ASL_2011_06_14_Brady6
Brady;ACT;10;10;10;10;N;454;489;ASL_2011_07_22_Brady42
Liz;AGGRESSIVE;A;A;A;A;N;520;575;ASL_2008_01_1113
Tyler;AGGRESSIVE;A;10;A;10;N;1600;1627;ASL_2008_05_12a8
Naomi;AGGRESSIVE;A;A;A;A;N;2007;2047;ASL_2008_08_049
Brady;AGGRESSIVE;10;10;10;10;N;12148;12175;ASL_2011_06_08_Brady9
Brady;AGGRESSIVE;A;A;A;A;N;2822;2852;ASL_2011_06_08_Brady11
Liz;ADD;crvd-5;crvd-5;flat-O;flat-O;N;2515;2560;ASL_2008_01_116
Liz;ADD;crvd-5;crvd-5;flat-O;flat-O;N;2820;2860;ASL_2008_01_116
Naomi;ADD;crvd-5;crvd-5;flat-O;flat-O;N;1557;1580;ASL_2008_08_045
Naomi;ADD;crvd-5;crvd-5;flat-O;flat-O;N;3660;3690;ASL_2008_08_049
Tyler;TOTAL;crvd-5;crvd-5;flat-O;flat-O;N;4855;4881;ASL_2008_05_12a6
Tyler;TOTAL;crvd-5;crvd-5;flat-O;flat-O;N;5170;5200;ASL_2008_05_12a6
Naomi;TOTAL;crvd-5;crvd-5;flat-O;flat-O;N;1339;1368;ASL_2008_08_045
Brady;TOTAL;crvd-5;crvd-5;flat-O;flat-O;N;606;630;ASL_2011_07_22_Brady37
Liz;TOTAL;crvd-5;crvd-5;flat-O;flat-O;N;1681;1725;ASL_2008_01_1113
Tyler;TOTAL;crvd-5;crvd-5;flat-O;flat-O;N;4206;4236;ASL_2008_05_12a10
Brady;TOTAL;crvd-5;crvd-sprd-B;flat-O;flat-O;N;7910;7936;ASL_2011_06_08_Brady11
Liz;ENTER;B;flat-B;B;flat-B;N;3355;3390;ASL_2008_01_116
Liz;ENTER;B;B-L;B;B-L;N;1580;1620;ASL_2008_01_1832
Tyler;ENTER;bent-B;flat-B;flat-B;flat-B;N;5660;5680;ASL_2008_05_12a6
Tyler;ENTER;flat-B;B-L;flat-B;B-L;N;1535;1565;ASL_2008_05_29a12
Naomi;ENTER;crvd-B;flat-B;B;flat-B;N;2825;2848;ASL_2008_08_045
Naomi;ENTER;bent-B;B-L;B;B-L;N;1030;1065;ASL_2008_08_0632
Brady;ENTER;B-L;B-L;B-L;B-L;N;1040;1062;ASL_2011_06_14_Brady56
Lana;ENTER;B-xd;bent-B;B-xd;bent-B;N;2584;2607;ASL_2006_10_108
Dana;ENTER;bent-B;bent-B-L;bent-B-L;bent-B-L;N;2528;2568;ASL_2007_05_2412
Liz;ADMIT;B-L;B-L;B-L;B-L;N;540;573;ASL_2008_01_117
Naomi;ADMIT;B-L;B-L;B-L;B-L;N;3507;3537;ASL_2008_08_045
Tyler;ADMIT;B-L;;B-L;;N;6350;6392;ASL_2008_05_12a6
Liz;ADVISE/INFLUENCE;flat-O;flat-B;5;flat-B;N;1805;1830;ASL_2008_01_117
Liz;ADVISE/INFLUENCE;flat-O;B;5;B;N;2110;2145;ASL_2008_01_117
Tyler;ADVISE/INFLUENCE;flat-O;B;5;B;N;825;850;ASL_2008_05_12a7
Tyler;ADVISE/INFLUENCE;flat-O;B;5;B;N;1060;1101;ASL_2008_05_12a7
Naomi;ADVISE/INFLUENCE;flat-O;B;5;B;N;1008;1041;ASL_2008_08_046
Naomi;ADVISE/INFLUENCE;O;Rlxd;crvd-5;Rlxd;N;1328;1367;ASL_2008_08_046
Brady;ADVISE/INFLUENCE;flat-O;Rlxd;crvd-sprd-B;Rlxd;N;352;365;ASL_2011_06_08_Brady9
Lana;ADVISE/INFLUENCE;flat-O;Rlxd;crvd-sprd-B;Rlxd;N;951;974;ASL_2006_10_102
Dana;ADVISE/INFLUENCE;flat-O;Rlxd;5;Rlxd;N;1136;1188;ASL_2007_05_245
Liz;ADVISE/INFLUENCE;flat-O;S;5;S;N;1740;1772;ASL_2008_02_0131
Naomi;ADVISE/INFLUENCE;flat-O;S;5;S;N;3587;3610;ASL_2008_08_1326
Brady;ADVISE/INFLUENCE;flat-O;S;5;S;N;2471;2487;ASL_2011_06_14_Brady40
Liz;AFRAID;5;5;5;5;N;805;845;ASL_2008_01_118
Tyler;AFRAID;5;5;5;5;N;1560;1600;ASL_2008_05_12a7
Brady;AFRAID;5;5;5;5;N;1148;1172;ASL_2011_06_08_Brady9
Liz;AFRAID;S;S;5;5;N;2130;2155;ASL_2008_01_1839
Liz;AFRAID;S;S;5;5;N;1210;1246;ASL_2008_02_2923
Tyler;AFRAID;S;S;5;5;N;4375;4400;ASL_2008_05_29a19
Naomi;AFRAID;A;A;5;5;N;1875;1900;ASL_2008_08_046
Naomi;AFRAID;A;A;5;5;N;2207;2240;ASL_2008_08_0639
Brady;AFRAID;S;S;5;5;N;312;332;ASL_2011_06_14_Brady17
Brady;AFRAID;S;S;5;5;N;1630;1652;ASL_2011_07_19_Brady73
Lana;AFRAID;S;S;5;5;N;2306;2319;ASL_2006_10_1024
Dana;AFRAID;S;S;5;5;N;2381;2409;ASL_2007_05_2426
Liz;ns-AFRICA;5;;flat-O;;N;1770;1815;ASL_2008_01_118
Tyler;ns-AFRICA;5;;flat-O;;N;2495;2525;ASL_2008_05_12a7
Naomi;ns-AFRICA;5;;flat-O;;N;2835;2860;ASL_2008_08_046
Brady;ns-AFRICA;5;;flat-O;;N;1666;1688;ASL_2011_06_08_Brady9
Liz;(A)ns-AFRICA;A;;A;;N;1381;1445;ASL_2010_08_10_Liz_additional_lexicon_signs8
Naomi;(A)ns-AFRICA;A;;A;;N;2280;2325;ASL_2008_08_046
Tyler;AFTERNOON;flat-B;B;flat-B;B;Y;590;625;ASL_2008_05_12a8
Tyler;AFTERNOON;B-L;B-L;B-L;B-L;Y;1272;1320;ASL_2008_05_29a8
Tyler;AFTERNOON;B-L;B-L;B-L;B-L;Y;3510;3545;ASL_2008_05_29a13
Naomi;AFTERNOON;B-L;B-L;B-L;B-L;Y;745;765;ASL_2008_08_047
Lana;AFTERNOON;B;B;B;B;Y;1235;1264;ASL_2006_10_102
Brady;AFTERNOON;B;B;B;B;Y;7773;7793;ASL_2011_06_08_Brady9
Dana;AFTERNOON;B;B;B;B;Y;1482;1522;ASL_2007_05_245
Liz;ALL-AFTERNOON;B;B;B;B;Y;765;790;ASL_2008_01_119
Liz;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;930;965;ASL_2008_01_119
Liz;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;1190;1260;ASL_2008_01_119
Tyler;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;785;820;ASL_2008_05_12a8
Tyler;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;1060;1091;ASL_2008_05_12a8
Naomi;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;963;990;ASL_2008_08_047
Naomi;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;1190;1250;ASL_2008_08_047
Brady;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;7979;7999;ASL_2011_06_08_Brady9
Brady;AGAIN;bent-B;B-L;bent-B;B-L;N;1265;1341;ASL_2011_06_14_Brady2
Brady;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;1860;1873;ASL_2011_07_19_Brady116
Lana;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;1507;1524;ASL_2006_10_102
Dana;AGAIN;bent-B-L;B-L;bent-B-L;B-L;N;1806;1836;ASL_2007_05_245
Brady;OFTEN;bent-B-L;B-L;bent-B-L;B-L;N;4357;4388;ASL_2011_06_08_Brady21
Brady;OFTEN;B-L;B-L;B-L;B-L;N;2364;2384;ASL_2011_07_19_Brady18
Dana;OFTEN;bent-B-L;B-L;bent-B-L;B-L;N;1457;1527;ASL_2007_05_2415
Liz;THOUSAND;bent-B-L;B-L;bent-B-L;B-L;N;1760;1780;ASL_2008_03_2815
Liz;MILLION;bent-B-L;B-L;bent-B-L;B-L;N;1287;1330;ASL_2008_02_155
Liz;MILLION;bent-B-L;B-L;bent-B-L;B-L;N;1365;1410;ASL_2008_02_1523
Lana;MILLION;bent-B-L;B-L;bent-B-L;B-L;N;2687;2709;ASL_2006_10_1019
Dana;MILLION;bent-B-L;B-L;bent-B-L;B-L;N;2621;2656;ASL_2007_05_2421
Liz;BILLION;bent-B-L;B-L;bent-B-L;B-L;N;1405;1435;ASL_2008_01_1142
Brady;BILLION;bent-B-L;B-L;bent-B-L;B-L;N;2448;2485;ASL_2011_07_19_Brady2
Tyler;BILLION;bent-B-L;B-L;bent-B-L;B-L;N;657;710;ASL_2008_05_12a27
Tyler;BILLION;bent-B-L;B-L;bent-B-L;B-L;N;717;746;ASL_2008_06_1015
Liz;OLD;C;;S;;N;1463;1505;ASL_2008_01_119
Tyler;OLD;C;;S;;N;1325;1377;ASL_2008_05_12a8
Naomi;OLD;C;;S;;N;1460;1487;ASL_2008_08_047
Brady;OLD;5-C;;S;;N;8308;8326;ASL_2011_06_08_Brady9
Lana;OLD;C;;S;;N;1095;1125;ASL_2006_10_1020
Dana;OLD;C;;S;;N;994;1044;ASL_2007_05_2422
Liz;OLD;S;;S;;N;2115;2150;ASL_2008_02_1523
Brady;OLD;S;;S;;N;322;350;ASL_2011_07_19_Brady19
Tyler;AGREE;1;1;1;1;N;2737;2770;ASL_2008_05_12a8
Naomi;AGREE;1;1;1;1;N;3592;3617;ASL_2008_08_047
Brady;AGREE;1;1;1;1;N;371;390;ASL_2011_06_08_Brady10
Lana;AGREE;1;1;1;1;N;1944;1968;ASL_2006_10_102
Dana;AGREE;1;1;1;1;N;2276;2315;ASL_2007_05_245
Liz;THINK+AGREE;1;;1;1;N;656;700;ASL_2008_01_1110
Tyler;AIR;5;;5;;N;3491;3520;ASL_2008_05_12a8
Liz;AIRPLANE;I-L-Y;;I-L-Y;;N;1575;1605;ASL_2008_01_1110
Liz;AIRPLANE;I-L-Y;;I-L-Y;;N;1580;1625;ASL_2010_08_10_Liz_additional_lexicon_signs8
Tyler;AIRPLANE;I-L-Y;;I-L-Y;;N;327;362;ASL_2008_05_12a9
Naomi;AIRPLANE;I-L-Y;;I-L-Y;;N;273;305;ASL_2008_08_048
Brady;AIRPLANE;I-L-Y;;I-L-Y;;N;1230;1253;ASL_2011_06_08_Brady10
Brady;AIRPLANE;bent-I-L-Y;;bent-I-L-Y;;N;1484;1511;ASL_2011_06_08_Brady10
Lana;AIRPLANE;I-L-Y;;I-L-Y;;N;1795;1821;ASL_2006_10_102
Dana;AIRPLANE;I-L-Y;;I-L-Y;;N;2128;2167;ASL_2007_05_245
Liz;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;2570;2600;ASL_2008_01_1845
Tyler;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;3225;3250;ASL_2008_05_29a25
Naomi;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;3045;3065;ASL_2008_08_0645
Brady;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;5233;5248;ASL_2011_06_14_Brady20
Brady;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;925;949;ASL_2011_07_22_Brady43
Lana;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;819;850;ASL_2006_10_1011
Dana;FLY-BY-PLANE;I-L-Y;;I-L-Y;;N;729;792;ASL_2007_05_2414
Liz;ALARM;1;B-L;1;B-L;N;1775;1805;ASL_2008_01_1110
Tyler;ALARM;1;B-L;1;B-L;N;537;575;ASL_2008_05_12a9
Tyler;ALARM;1;B-L;1;B-L;N;1281;1332;ASL_2008_05_12a25
Naomi;ALARM;1;B-L;1;B-L;N;478;527;ASL_2008_08_048
Naomi;ALARM;D;B-L;D;B-L;N;1493;1525;ASL_2008_08_0426
Brady;ALARM;1;B-L;1;B-L;N;1766;1792;ASL_2011_06_08_Brady10
Liz;ALCOHOL;Horns;Horns;Horns;Horns;N;612;652;ASL_2008_02_0151
Tyler;ALCOHOL;Horns;Horns;Horns;Horns;N;627;664;ASL_2008_06_103
Naomi;ALCOHOL;Horns;Horns;Horns;Horns;N;335;361;ASL_2008_08_13_session26
Brady;ALCOHOL;Horns;Horns;Horns;Horns;N;2044;2078;ASL_2011_06_14_Brady50
Liz;SARCASM;Horns;Horns;Horns;Horns;N;2796;2842;ASL_2008_03_2822
Liz;SARCASM;Horns;Horns;Horns;Horns;N;2000;2075;ASL_2010_08_10_Liz_additional_lexicon_signs20
Brady;SARCASM;Horns;Horns;Horns;Horns;N;942;966;ASL_2011_06_14_Brady42
Brady;SARCASM;Horns;Horns;Horns;Horns;N;1277;1307;ASL_2011_07_19_Brady72
Brady;SARCASM;Horns;Horns;Horns;Horns;N;1067;1102;ASL_2011_07_22_Brady11
Liz;ALL;B-L;B-L;B-L;B-L;N;470;520;ASL_2008_01_1111
Tyler;ALL;B-L;B-L;B-L;B-L;N;1045;1075;ASL_2008_05_12a9
Naomi;ALL;B-L;B-L;B-L;B-L;N;1680;1712;ASL_2008_08_048
Brady;ALL;B-L;B-L;B-L;B-L;N;7564;7593;ASL_2011_06_08_Brady10
Lana;ALL;B-L;B-L;B-L;B-L;N;2222;2254;ASL_2006_10_102
Dana;ALL;B-L;B-L;B-L;B-L;N;2573;2616;ASL_2007_05_245
Liz;#ALL;A;;L;;N;275;300;ASL_2008_01_1112
Tyler;#ALL;A;;L;;N;2542;2570;ASL_2008_05_12a9
Naomi;#ALL;A;;L;;N;2922;2942;ASL_2008_08_048
Brady;#ALL;A;;L;;N;7838;7857;ASL_2011_06_08_Brady10
Dana;#ALL;A;;L;;N;450;488;ASL_2007_05_245
Lana;#ALL;A;;L;;N;396;416;ASL_2006_10_102
