BodyAcc;GravityAcc;BodyGyro;subject;Activity;time
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:26.560
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:29.120
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:31.680
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:34.240
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:36.800
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:39.360
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:41.920
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:44.480
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:47.040
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:49.600
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:52.160
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:54.720
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:57.280
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:06:59.840
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:02.400
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:04.960
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:07.520
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:10.080
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:12.640
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:15.200
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:17.760
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:20.320
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:22.880
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:25.440
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:07:28.000
b;a;b;1;STANDING;2010-01-01 10:07:30.560
b;a;b;1;STANDING;2010-01-01 10:07:33.120
b;a;b;1;STANDING;2010-01-01 10:07:35.680
b;a;b;1;STANDING;2010-01-01 10:07:38.240
b;a;b;1;STANDING;2010-01-01 10:07:40.800
b;a;b;1;STANDING;2010-01-01 10:07:43.360
b;a;b;1;STANDING;2010-01-01 10:07:45.920
b;a;b;1;STANDING;2010-01-01 10:07:48.480
b;a;b;1;STANDING;2010-01-01 10:07:51.040
b;a;b;1;STANDING;2010-01-01 10:07:53.600
b;a;b;1;STANDING;2010-01-01 10:07:56.160
b;a;b;1;STANDING;2010-01-01 10:07:58.720
b;a;b;1;STANDING;2010-01-01 10:08:01.280
b;a;b;1;STANDING;2010-01-01 10:08:03.840
b;a;b;1;STANDING;2010-01-01 10:08:06.400
b;a;b;1;STANDING;2010-01-01 10:08:08.960
b;a;b;1;STANDING;2010-01-01 10:08:11.520
b;a;b;1;STANDING;2010-01-01 10:08:14.080
b;a;b;1;STANDING;2010-01-01 10:08:16.640
b;a;b;1;STANDING;2010-01-01 10:08:19.200
b;a;b;1;STANDING;2010-01-01 10:08:21.760
b;a;b;1;STANDING;2010-01-01 10:08:24.320
b;a;b;1;STANDING;2010-01-01 10:08:26.880
b;a;b;1;STANDING;2010-01-01 10:08:29.440
b;a;b;1;STANDING;2010-01-01 10:08:32.000
b;a;b;1;STANDING;2010-01-01 10:08:34.560
b;a;b;1;SITTING;2010-01-01 10:08:37.120
b;a;b;1;SITTING;2010-01-01 10:08:39.680
b;a;b;1;SITTING;2010-01-01 10:08:42.240
b;a;b;1;SITTING;2010-01-01 10:08:44.800
b;a;b;1;SITTING;2010-01-01 10:08:47.360
b;a;b;1;SITTING;2010-01-01 10:08:49.920
b;a;b;1;SITTING;2010-01-01 10:08:52.480
b;a;b;1;SITTING;2010-01-01 10:08:55.040
b;a;b;1;SITTING;2010-01-01 10:08:57.600
b;a;b;1;SITTING;2010-01-01 10:09:00.160
b;a;b;1;SITTING;2010-01-01 10:09:02.720
b;c;b;1;LAYING;2010-01-01 10:09:05.280
b;c;b;1;LAYING;2010-01-01 10:09:07.840
b;c;b;1;LAYING;2010-01-01 10:09:10.400
b;c;b;1;LAYING;2010-01-01 10:09:12.960
b;c;b;1;LAYING;2010-01-01 10:09:15.520
b;c;b;1;LAYING;2010-01-01 10:09:18.080
b;c;b;1;LAYING;2010-01-01 10:09:20.640
b;c;b;1;LAYING;2010-01-01 10:09:23.200
b;c;b;1;LAYING;2010-01-01 10:09:25.760
b;c;b;1;LAYING;2010-01-01 10:09:28.320
b;c;b;1;LAYING;2010-01-01 10:09:30.880
b;c;b;1;LAYING;2010-01-01 10:09:33.440
b;a;b;1;SITTING;2010-01-01 10:09:36.000
b;a;b;1;SITTING;2010-01-01 10:09:38.560
b;a;b;1;SITTING;2010-01-01 10:09:41.120
b;a;b;1;SITTING;2010-01-01 10:09:43.680
b;a;b;1;SITTING;2010-01-01 10:09:46.240
b;a;b;1;SITTING;2010-01-01 10:09:48.800
b;a;b;1;SITTING;2010-01-01 10:09:51.360
b;a;b;1;SITTING;2010-01-01 10:09:53.920
b;a;b;1;SITTING;2010-01-01 10:09:56.480
b;a;b;1;SITTING;2010-01-01 10:09:59.040
b;a;b;1;SITTING;2010-01-01 10:10:01.600
b;a;b;1;SITTING;2010-01-01 10:10:04.160
a;c;c;1;LAYING;2010-01-01 10:10:06.720
b;c;c;1;LAYING;2010-01-01 10:10:09.280
b;c;b;1;LAYING;2010-01-01 10:10:11.840
b;c;b;1;LAYING;2010-01-01 10:10:14.400
b;c;b;1;LAYING;2010-01-01 10:10:16.960
b;c;b;1;LAYING;2010-01-01 10:10:19.520
b;c;b;1;LAYING;2010-01-01 10:10:22.080
b;c;b;1;LAYING;2010-01-01 10:10:24.640
b;c;b;1;LAYING;2010-01-01 10:10:27.200
b;c;b;1;LAYING;2010-01-01 10:10:29.760
b;c;b;1;LAYING;2010-01-01 10:10:32.320
a;b;c;1;WALKING;2010-01-01 10:10:34.880
a;b;c;1;WALKING;2010-01-01 10:10:37.440
a;b;a;1;WALKING;2010-01-01 10:10:40.000
c;b;a;1;WALKING;2010-01-01 10:10:42.560
c;b;a;1;WALKING;2010-01-01 10:10:45.120
a;b;a;1;WALKING;2010-01-01 10:10:47.680
c;b;a;1;WALKING;2010-01-01 10:10:50.240
a;b;a;1;WALKING;2010-01-01 10:10:52.800
a;b;a;1;WALKING;2010-01-01 10:10:55.360
c;b;a;1;WALKING;2010-01-01 10:10:57.920
c;b;a;1;WALKING;2010-01-01 10:11:00.480
a;b;c;1;WALKING;2010-01-01 10:11:03.040
c;b;a;1;WALKING;2010-01-01 10:11:05.600
c;b;a;1;WALKING;2010-01-01 10:11:08.160
c;b;a;1;WALKING;2010-01-01 10:11:10.720
c;b;a;1;WALKING;2010-01-01 10:11:13.280
c;b;a;1;WALKING;2010-01-01 10:11:15.840
c;b;a;1;WALKING;2010-01-01 10:11:18.400
c;b;a;1;WALKING;2010-01-01 10:11:20.960
c;b;a;1;WALKING;2010-01-01 10:11:23.520
c;b;a;1;WALKING;2010-01-01 10:11:26.080
c;b;a;1;WALKING;2010-01-01 10:11:28.640
c;b;a;1;WALKING;2010-01-01 10:11:31.200
c;b;a;1;WALKING;2010-01-01 10:11:33.760
c;b;a;1;WALKING;2010-01-01 10:11:36.320
c;b;a;1;WALKING;2010-01-01 10:11:38.880
c;b;a;1;WALKING;2010-01-01 10:11:41.440
c;b;a;1;WALKING;2010-01-01 10:11:44.000
a;b;a;1;WALKING;2010-01-01 10:11:46.560
c;b;a;1;WALKING;2010-01-01 10:11:49.120
c;b;a;1;WALKING;2010-01-01 10:11:51.680
a;b;c;1;WALKING;2010-01-01 10:11:54.240
c;b;a;1;WALKING;2010-01-01 10:11:56.800
a;b;a;1;WALKING;2010-01-01 10:11:59.360
c;b;a;1;WALKING;2010-01-01 10:12:01.920
c;b;a;1;WALKING;2010-01-01 10:12:04.480
c;b;a;1;WALKING;2010-01-01 10:12:07.040
a;b;a;1;WALKING;2010-01-01 10:12:09.600
c;b;a;1;WALKING;2010-01-01 10:12:12.160
c;b;a;1;WALKING;2010-01-01 10:12:14.720
c;b;a;1;WALKING;2010-01-01 10:12:17.280
c;b;a;1;WALKING;2010-01-01 10:12:19.840
c;b;a;1;WALKING;2010-01-01 10:12:22.400
c;b;a;1;WALKING;2010-01-01 10:12:24.960
c;b;a;1;WALKING;2010-01-01 10:12:27.520
c;b;a;1;WALKING;2010-01-01 10:12:30.080
c;b;a;1;WALKING;2010-01-01 10:12:32.640
c;b;a;1;WALKING;2010-01-01 10:12:35.200
a;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:37.760
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:40.320
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:42.880
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:45.440
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:48.000
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:50.560
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:12:53.120
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:12:55.680
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:12:58.240
a;b;a;1;WALKING_UPSTAIRS;2010-01-01 10:13:00.800
a;b;a;1;WALKING_UPSTAIRS;2010-01-01 10:13:03.360
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:05.920
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:08.480
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:11.040
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:13.600
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:16.160
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:18.720
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:21.280
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:23.840
a;b;a;1;WALKING_UPSTAIRS;2010-01-01 10:13:26.400
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:28.960
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:31.520
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:34.080
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:36.640
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:39.200
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:41.760
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:44.320
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:46.880
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:49.440
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:52.000
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:54.560
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:57.120
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:13:59.680
a;b;c;1;WALKING_UPSTAIRS;2010-01-01 10:14:02.240
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:04.800
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:07.360
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:09.920
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:12.480
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:15.040
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:17.600
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:20.160
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:22.720
c;b;c;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:25.280
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:27.840
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:30.400
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:32.960
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:35.520
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:38.080
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:40.640
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:43.200
c;b;a;1;WALKING_DOWNSTAIRS;2010-01-01 10:14:45.760
b;b;c;3;STANDING;2010-01-01 10:14:48.320
b;a;b;3;STANDING;2010-01-01 10:14:50.880
b;a;b;3;STANDING;2010-01-01 10:14:53.440
b;a;b;3;STANDING;2010-01-01 10:14:56.000
b;a;b;3;STANDING;2010-01-01 10:14:58.560
b;a;b;3;STANDING;2010-01-01 10:15:01.120
b;a;b;3;STANDING;2010-01-01 10:15:03.680
b;a;b;3;STANDING;2010-01-01 10:15:06.240
b;a;b;3;STANDING;2010-01-01 10:15:08.800
b;a;b;3;STANDING;2010-01-01 10:15:11.360
b;a;b;3;STANDING;2010-01-01 10:15:13.920
b;a;b;3;STANDING;2010-01-01 10:15:16.480
b;a;b;3;STANDING;2010-01-01 10:15:19.040
b;a;b;3;STANDING;2010-01-01 10:15:21.600
b;a;b;3;STANDING;2010-01-01 10:15:24.160
b;a;b;3;STANDING;2010-01-01 10:15:26.720
b;b;b;3;STANDING;2010-01-01 10:15:29.280
b;a;b;3;STANDING;2010-01-01 10:15:31.840
b;a;b;3;STANDING;2010-01-01 10:15:34.400
b;a;b;3;STANDING;2010-01-01 10:15:36.960
b;a;b;3;STANDING;2010-01-01 10:15:39.520
b;a;b;3;STANDING;2010-01-01 10:15:42.080
b;a;b;3;STANDING;2010-01-01 10:15:44.640
b;a;b;3;STANDING;2010-01-01 10:15:47.200
b;a;b;3;STANDING;2010-01-01 10:15:49.760
b;a;b;3;STANDING;2010-01-01 10:15:52.320
b;a;b;3;STANDING;2010-01-01 10:15:54.880
b;a;b;3;STANDING;2010-01-01 10:15:57.440
b;a;b;3;STANDING;2010-01-01 10:16:00.000
b;a;b;3;STANDING;2010-01-01 10:16:02.560
b;a;b;3;STANDING;2010-01-01 10:16:05.120
b;b;b;3;SITTING;2010-01-01 10:16:07.680
b;a;b;3;SITTING;2010-01-01 10:16:10.240
b;a;b;3;SITTING;2010-01-01 10:16:12.800
b;a;b;3;SITTING;2010-01-01 10:16:15.360
b;a;b;3;SITTING;2010-01-01 10:16:17.920
b;a;b;3;SITTING;2010-01-01 10:16:20.480
b;b;b;3;SITTING;2010-01-01 10:16:23.040
b;b;b;3;SITTING;2010-01-01 10:16:25.600
b;b;b;3;SITTING;2010-01-01 10:16:28.160
b;a;b;3;SITTING;2010-01-01 10:16:30.720
b;c;b;3;SITTING;2010-01-01 10:16:33.280
b;a;b;3;SITTING;2010-01-01 10:16:35.840
b;a;b;3;SITTING;2010-01-01 10:16:38.400
b;a;b;3;SITTING;2010-01-01 10:16:40.960
b;a;b;3;SITTING;2010-01-01 10:16:43.520
b;a;b;3;SITTING;2010-01-01 10:16:46.080
b;a;b;3;SITTING;2010-01-01 10:16:48.640
b;a;b;3;SITTING;2010-01-01 10:16:51.200
b;a;b;3;SITTING;2010-01-01 10:16:53.760
b;a;b;3;SITTING;2010-01-01 10:16:56.320
b;a;b;3;SITTING;2010-01-01 10:16:58.880
b;a;b;3;SITTING;2010-01-01 10:17:01.440
b;a;b;3;SITTING;2010-01-01 10:17:04.000
b;a;b;3;SITTING;2010-01-01 10:17:06.560
b;a;b;3;SITTING;2010-01-01 10:17:09.120
b;a;b;3;SITTING;2010-01-01 10:17:11.680
b;c;b;3;LAYING;2010-01-01 10:17:14.240
b;c;b;3;LAYING;2010-01-01 10:17:16.800
b;c;b;3;LAYING;2010-01-01 10:17:19.360
b;c;b;3;LAYING;2010-01-01 10:17:21.920
b;c;b;3;LAYING;2010-01-01 10:17:24.480
b;c;b;3;LAYING;2010-01-01 10:17:27.040
b;c;b;3;LAYING;2010-01-01 10:17:29.600
b;c;b;3;LAYING;2010-01-01 10:17:32.160
b;c;b;3;LAYING;2010-01-01 10:17:34.720
b;c;b;3;LAYING;2010-01-01 10:17:37.280
b;c;b;3;LAYING;2010-01-01 10:17:39.840
b;c;b;3;LAYING;2010-01-01 10:17:42.400
b;c;b;3;LAYING;2010-01-01 10:17:44.960
b;c;b;3;LAYING;2010-01-01 10:17:47.520
b;c;b;3;LAYING;2010-01-01 10:17:50.080
b;c;b;3;LAYING;2010-01-01 10:17:52.640
b;c;b;3;LAYING;2010-01-01 10:17:55.200
b;c;b;3;LAYING;2010-01-01 10:17:57.760
b;c;b;3;LAYING;2010-01-01 10:18:00.320
b;c;b;3;LAYING;2010-01-01 10:18:02.880
b;c;b;3;LAYING;2010-01-01 10:18:05.440
b;c;b;3;LAYING;2010-01-01 10:18:08.000
b;c;b;3;LAYING;2010-01-01 10:18:10.560
b;c;b;3;LAYING;2010-01-01 10:18:13.120
b;c;b;3;LAYING;2010-01-01 10:18:15.680
b;c;b;3;LAYING;2010-01-01 10:18:18.240
b;c;b;3;LAYING;2010-01-01 10:18:20.800
b;c;b;3;LAYING;2010-01-01 10:18:23.360
b;c;b;3;LAYING;2010-01-01 10:18:25.920
b;c;b;3;LAYING;2010-01-01 10:18:28.480
a;b;c;3;WALKING;2010-01-01 10:18:31.040
a;b;c;3;WALKING;2010-01-01 10:18:33.600
a;b;c;3;WALKING;2010-01-01 10:18:36.160
a;b;c;3;WALKING;2010-01-01 10:18:38.720
a;b;c;3;WALKING;2010-01-01 10:18:41.280
a;b;c;3;WALKING;2010-01-01 10:18:43.840
a;b;c;3;WALKING;2010-01-01 10:18:46.400
a;b;c;3;WALKING;2010-01-01 10:18:48.960
a;b;c;3;WALKING;2010-01-01 10:18:51.520
a;b;c;3;WALKING;2010-01-01 10:18:54.080
a;b;c;3;WALKING;2010-01-01 10:18:56.640
a;b;c;3;WALKING;2010-01-01 10:18:59.200
a;b;c;3;WALKING;2010-01-01 10:19:01.760
a;b;c;3;WALKING;2010-01-01 10:19:04.320
a;b;c;3;WALKING;2010-01-01 10:19:06.880
a;b;c;3;WALKING;2010-01-01 10:19:09.440
a;b;c;3;WALKING;2010-01-01 10:19:12.000
a;b;c;3;WALKING;2010-01-01 10:19:14.560
a;b;c;3;WALKING;2010-01-01 10:19:17.120
a;b;c;3;WALKING;2010-01-01 10:19:19.680
c;b;c;3;WALKING;2010-01-01 10:19:22.240
c;b;c;3;WALKING;2010-01-01 10:19:24.800
a;b;c;3;WALKING;2010-01-01 10:19:27.360
a;b;c;3;WALKING;2010-01-01 10:19:29.920
a;b;c;3;WALKING;2010-01-01 10:19:32.480
c;b;c;3;WALKING;2010-01-01 10:19:35.040
c;b;c;3;WALKING;2010-01-01 10:19:37.600
