sid;start_time;end_time;value
(Living Room);3/2/2003 2:40;3/2/2003 2:40;H9
(Superdoc Office);3/2/2003 2:57;3/2/2003 2:57;G11
(Superdoc Office);3/2/2003 3:51;3/2/2003 3:51;G11
(Superdoc Office);3/2/2003 4:06;3/2/2003 4:10;G11
(Superdoc Office);3/2/2003 4:29;3/2/2003 4:43;G11
(Superdoc Office);3/2/2003 4:43;3/2/2003 4:43;G11
(Superdoc Office);3/2/2003 4:46;3/2/2003 4:46;G11
(Living Room);3/2/2003 6:04;3/2/2003 6:04;H9
( );3/20/2003 1:00;3/20/2003 2:15;P15
(Dining Room);3/20/2003 1:01;3/20/2003 2:14;I14
(Dining Room);3/20/2003 1:01;3/20/2003 2:13;I16
(Living Room);3/20/2003 1:01;3/20/2003 2:13;H12
(Studio B);3/20/2003 4:30;4/12/2003 4:54;B12
(Studio B);3/20/2003 4:30;4/24/2003 12:32;B14
(Studio B);3/20/2003 4:30;3/21/2003 4:46;B9
(Studio C);3/20/2003 6:29;4/2/2003 11:02;C13
(Studio D);3/20/2003 7:10;3/21/2003 4:46;D9
(Studio E);3/20/2003 7:10;3/21/2003 4:46;E9
(Dining Room);3/20/2003 7:11;3/20/2003 7:21;I14
(Dining Room);3/20/2003 7:21;3/20/2003 7:37;I11
(Dining Room);3/20/2003 7:21;3/20/2003 7:21;I14
(Dining Room);3/20/2003 7:32;3/20/2003 7:37;I16
(Living Room);3/20/2003 8:19;3/27/2003 6:43;H12
(Living Room);3/20/2003 8:19;3/21/2003 8:01;H9
(Living Room);3/21/2003 6:55;3/21/2003 8:01;H9
(Dining Room);3/21/2003 7:26;3/21/2003 7:27;I14
(Living Room);3/21/2003 8:01;3/21/2003 8:01;H9
(Studio F);3/21/2003 8:06;3/21/2003 8:07;F13
(Studio F);3/21/2003 8:06;3/21/2003 8:06;F14
(Dining Room);3/24/2003 10:09;3/24/2003 10:12;I14
(Studio C);3/24/2003 10:10;3/24/2003 10:45;C9
(Studio A);3/24/2003 10:11;3/24/2003 10:44;A14
(Dining Room);3/24/2003 10:15;3/24/2003 10:25;I14
(Studio E);3/24/2003 10:15;3/24/2003 11:06;E9
(Studio D);3/24/2003 10:16;3/24/2003 11:06;D11
(Studio D);3/24/2003 10:16;3/27/2003 6:42;D9
(Dining Room);3/24/2003 10:27;3/24/2003 10:58;I14
(Dining Room);3/24/2003 10:36;3/24/2003 10:43;I11
(Dining Room);3/24/2003 10:36;3/24/2003 10:43;I16
(Dining Room);3/24/2003 10:51;3/24/2003 10:58;I11
(Dining Room);3/24/2003 10:51;3/24/2003 10:58;I14
(Dining Room);3/25/2003 10:06;3/25/2003 10:08;I14
(Studio B);3/25/2003 10:06;3/25/2003 10:49;B9
(Studio C);3/25/2003 10:06;3/25/2003 10:49;C9
(Dining Room);3/25/2003 10:33;3/25/2003 10:39;I11
(Dining Room);3/25/2003 10:33;3/27/2003 2:10;I16
(Dining Room);3/26/2003 9:56;3/26/2003 9:59;I14
(Studio A);3/26/2003 9:56;3/26/2003 10:37;A14
(Studio B);3/26/2003 9:56;3/27/2003 6:43;B9
(Studio C);3/26/2003 9:56;3/26/2003 10:37;C9
(Dining Room);3/26/2003 10:11;3/26/2003 10:13;I14
(Dining Room);3/26/2003 10:24;3/26/2003 10:30;I11
(Dining Room);3/26/2003 10:24;3/27/2003 2:10;I16
(Living Room);3/27/2003 2:10;3/30/2003 3:28;H11
(Studio B);3/27/2003 2:10;3/27/2003 6:43;B9
(Studio C);3/27/2003 2:10;3/27/2003 6:43;C8
(Studio C);3/27/2003 2:10;3/27/2003 6:43;C9
(Studio E);3/27/2003 2:10;3/27/2003 6:43;E9
(Studio C);3/27/2003 2:11;3/27/2003 6:43;C15
(Studio D);3/27/2003 2:11;3/27/2003 6:42;D9
(Studio A);3/27/2003 3:10;3/27/2003 6:42;A15
(Studio D);3/27/2003 3:10;3/27/2003 6:42;D15
(Studio E);3/27/2003 3:10;3/27/2003 6:43;E15
( );3/27/2003 1:00;3/27/2003 2:15;P15
(Dining Room);3/27/2003 1:01;3/27/2003 1:34;I11
(Living Room);3/27/2003 1:01;3/27/2003 1:33;H13
(Living Room);3/27/2003 1:01;3/27/2003 1:33;H9
(Conference Room);3/27/2003 1:02;3/27/2003 2:55;J10
(Conference Room);3/27/2003 1:02;3/27/2003 1:34;J11
(Living Room);3/27/2003 1:06;3/27/2003 2:09;H12
(Dining Room);3/27/2003 1:07;3/27/2003 10:24;I14
(Dining Room);3/27/2003 1:07;3/27/2003 2:10;I16
(Conference Room);3/27/2003 1:34;3/27/2003 1:34;J11
(Conference Room);3/27/2003 2:54;4/3/2003 9:29;J11
(Studio D);3/27/2003 7:10;3/27/2003 10:58;D9
(Studio E);3/27/2003 7:10;3/27/2003 7:20;E9
(Dining Room);3/27/2003 7:14;3/27/2003 8:49;I11
(Dining Room);3/27/2003 7:14;3/27/2003 7:17;I16
(Dining Room);3/27/2003 8:49;3/27/2003 8:49;I11
(Dining Room);3/27/2003 9:22;3/27/2003 9:22;I11
(Dining Room);3/27/2003 9:29;3/27/2003 9:29;I11
(Dining Room);3/27/2003 10:09;3/27/2003 10:24;I14
(Studio D);3/27/2003 10:09;3/28/2003 10:53;D11
(Studio D);3/27/2003 10:09;3/27/2003 10:58;D9
(Studio E);3/27/2003 10:09;3/27/2003 10:58;E9
(Dining Room);3/27/2003 10:15;3/27/2003 10:24;I14
(Studio B);3/27/2003 10:15;3/27/2003 10:48;B9
(Studio A);3/27/2003 10:17;3/27/2003 10:48;A14
(Dining Room);3/27/2003 10:24;3/27/2003 10:24;I14
(Dining Room);3/27/2003 10:33;3/27/2003 10:43;I11
(Dining Room);3/27/2003 10:33;4/3/2003 1:57;I16
(Dining Room);3/27/2003 10:45;3/27/2003 10:54;I11
(Conference Room);3/28/2003 8:49;4/3/2003 9:29;J11
(Conference Room);3/28/2003 8:49;4/3/2003 1:05;J12
(Dining Room);3/28/2003 10:04;3/28/2003 10:07;I14
(Studio B);3/28/2003 10:05;4/9/2003 10:46;B9
(Studio C);3/28/2003 10:05;3/28/2003 10:42;C9
(Dining Room);3/28/2003 10:15;3/28/2003 10:22;I14
(Studio D);3/28/2003 10:16;3/28/2003 10:53;D11
(Studio D);3/28/2003 10:16;3/28/2003 10:53;D9
(Studio E);3/28/2003 10:16;3/28/2003 10:53;E9
(Dining Room);3/28/2003 10:22;3/28/2003 10:22;I14
(Living Room);3/28/2003 10:29;3/28/2003 10:33;H12
(Living Room);3/28/2003 10:29;3/28/2003 10:33;H9
(Conference Room);3/28/2003 10:30;4/2/2003 11:09;J10
(Conference Room);3/28/2003 10:30;4/3/2003 9:29;J11
(Conference Room);3/28/2003 10:30;4/3/2003 1:05;J12
(Dining Room);3/28/2003 10:31;4/3/2003 1:57;I16
(Conference Room);3/28/2003 10:33;4/2/2003 11:09;J10
(Conference Room);3/28/2003 10:33;4/3/2003 9:29;J11
(Dining Room);3/28/2003 10:46;3/28/2003 10:52;I11
(Dining Room);3/28/2003 10:46;3/28/2003 10:52;I14
(Conference Room);3/3/2003 12:05;3/4/2003 1:02;J12
(Studio C);3/3/2003 3:43;3/3/2003 3:43;C11
(Studio C);3/3/2003 3:43;3/3/2003 3:43;C13
(Studio C);3/3/2003 3:43;3/3/2003 3:43;C14
(Studio C);3/3/2003 3:43;3/17/2003 3:22;C15
( );3/3/2003 10:55;3/3/2003 5:28;P1
(Studio A);3/3/2003 10:59;3/3/2003 10:59;A15
(Studio A);3/3/2003 10:59;4/4/2003 1:13;A16
(Studio C);3/3/2003 11:00;3/3/2003 11:00;C16
(Studio F);3/3/2003 11:00;3/3/2003 11:00;F16
(Living Room);3/3/2003 11:01;3/3/2003 11:01;H9
(Studio E);3/3/2003 11:18;3/3/2003 11:18;E16
(Superdoc Office);3/3/2003 11:23;3/3/2003 11:24;G11
(Superdoc Office);3/3/2003 11:23;3/3/2003 11:24;G12
(Superdoc Office);3/3/2003 11:24;3/25/2003 5:10;G13
(Studio E);3/3/2003 11:33;3/3/2003 11:34;E16
(Studio D);3/3/2003 11:34;4/24/2003 11:54;D16
(Dining Room);3/3/2003 7:01;3/3/2003 7:03;I14
(Studio D);3/3/2003 7:02;3/3/2003 11:11;D9
(Studio E);3/3/2003 7:02;3/12/2003 7:45;E9
(Dining Room);3/3/2003 7:06;3/3/2003 10:41;I11
(Dining Room);3/3/2003 7:07;3/3/2003 10:03;I14
(Dining Room);3/3/2003 7:11;3/3/2003 7:14;I16
( );3/3/2003 9:58;3/3/2003 10:34;O7
(Dining Room);3/3/2003 10:10;3/3/2003 10:21;I14
(Dining Room);3/3/2003 10:21;3/3/2003 10:25;I16
(Living Room);3/3/2003 10:21;3/4/2003 2:37;H13
(Dining Room);3/3/2003 10:24;3/3/2003 10:27;I14
(Studio D);3/3/2003 10:26;3/4/2003 10:13;D11
(Dining Room);3/3/2003 10:40;3/3/2003 10:41;I16
(Dining Room);3/3/2003 11:01;3/4/2003 9:15;I11
(Dining Room);3/3/2003 11:01;3/3/2003 11:04;I14
(Living Room);3/30/2003 3:27;3/30/2003 3:28;H11
(Studio C);3/30/2003 3:29;3/30/2003 3:30;C8
(Studio C);3/30/2003 3:29;3/30/2003 3:30;C9
(Dining Room);3/31/2003 7:53;3/31/2003 7:53;I14
(Studio D);3/31/2003 7:53;3/31/2003 8:49;D9
(Studio E);3/31/2003 7:53;3/31/2003 8:00;E9
(Studio D);3/31/2003 8:49;3/31/2003 8:49;D9
(Dining Room);3/31/2003 10:14;3/31/2003 10:29;I14
(Studio A);3/31/2003 10:14;3/31/2003 11:03;A14
(Studio B);3/31/2003 10:14;4/9/2003 10:46;B9
(Studio C);3/31/2003 10:14;4/2/2003 10:51;C9
(Dining Room);3/31/2003 10:17;3/31/2003 10:29;I14
(Studio D);3/31/2003 10:17;4/2/2003 10:51;D11
(Studio D);3/31/2003 10:17;3/31/2003 11:02;D9
(Studio E);3/31/2003 10:17;3/31/2003 11:02;E9
(Dining Room);3/31/2003 10:26;3/31/2003 10:29;I14
(Dining Room);3/31/2003 10:29;3/31/2003 10:43;I11
(Dining Room);3/31/2003 10:29;4/3/2003 1:57;I16
(Living Room);3/31/2003 10:42;3/31/2003 10:50;H12
(Living Room);3/31/2003 10:42;4/2/2003 10:36;H13
(Living Room);3/31/2003 10:42;4/2/2003 10:36;H9
(Conference Room);3/31/2003 10:43;4/3/2003 1:05;J12
(Conference Room);3/31/2003 10:50;4/3/2003 9:29;J11
(Dining Room);3/31/2003 10:51;3/31/2003 11:01;I11
(Dining Room);3/31/2003 10:51;4/3/2003 9:55;I14
( );3/4/2003 9:13;3/4/2003 11:54;P1
(Conference Room);3/4/2003 9:15;3/12/2003 2:02;J16
(Studio A);3/4/2003 11:24;3/4/2003 11:24;A11
(Studio A);3/4/2003 11:24;3/4/2003 10:41;A14
(Studio A);3/4/2003 11:24;4/4/2003 1:13;A16
(Living Room);3/4/2003 1:00;3/4/2003 2:37;H13
(Conference Room);3/4/2003 1:01;3/6/2003 10:49;J10
(Dining Room);3/4/2003 1:01;3/4/2003 2:37;I11
(Conference Room);3/4/2003 1:02;3/6/2003 1:09;J11
(Dining Room);3/4/2003 9:27;3/4/2003 9:31;I14
(Studio D);3/4/2003 9:28;3/4/2003 10:13;D11
(Studio D);3/4/2003 9:28;3/4/2003 10:13;D9
(Dining Room);3/4/2003 9:55;3/4/2003 9:58;I11
(Dining Room);3/4/2003 9:55;3/4/2003 9:58;I16
(Dining Room);3/4/2003 10:01;3/4/2003 10:05;I11
(Dining Room);3/4/2003 10:01;3/4/2003 10:05;I14
( );3/4/2003 10:02;3/4/2003 10:41;O7
(Studio A);3/4/2003 10:03;3/4/2003 10:41;A14
(Studio B);3/4/2003 10:03;3/6/2003 10:40;B9
(Studio C);3/4/2003 10:03;3/4/2003 10:40;C9
(Dining Room);3/4/2003 10:14;3/4/2003 10:15;I14
(Dining Room);3/4/2003 10:32;3/4/2003 10:37;I11
(Studio C);3/4/2003 10:40;3/4/2003 10:40;C9
(Living Room);3/4/2003 11:56;3/4/2003 11:57;H9
(Studio A);3/5/2003 12:00;3/5/2003 12:01;A11
(Living Room);3/5/2003 12:11;3/5/2003 12:11;H11
( );3/5/2003 12:27;3/13/2003 12:31;P1
( );3/5/2003 9:56;3/5/2003 10:26;O7
(Dining Room);3/5/2003 9:56;3/5/2003 10:00;I14
(Dining Room);3/5/2003 10:05;3/5/2003 10:06;I14
(Dining Room);3/5/2003 10:11;3/5/2003 10:18;I11
(Dining Room);3/5/2003 10:11;3/5/2003 10:18;I16
(Conference Room);3/6/2003 10:08;3/6/2003 10:49;J10
(Studio E);3/6/2003 10:26;3/6/2003 10:26;E15
( );3/6/2003 10:30;3/6/2003 5:35;P1
(Studio B);3/6/2003 10:39;3/6/2003 10:39;B14
(Conference Room);3/6/2003 10:41;3/6/2003 10:43;J15
(Conference Room);3/6/2003 10:41;3/12/2003 2:02;J16
(Dining Room);3/6/2003 10:42;3/6/2003 10:43;I11
(Studio F);3/6/2003 10:42;3/6/2003 10:42;F12
(Conference Room);3/6/2003 10:49;3/6/2003 10:49;J10
(Conference Room);3/6/2003 10:49;3/6/2003 1:09;J11
(Dining Room);3/6/2003 1:01;3/6/2003 2:01;I11
(Living Room);3/6/2003 1:01;3/6/2003 2:01;H13
(Living Room);3/6/2003 1:01;3/6/2003 2:01;H9
(Conference Room);3/6/2003 1:09;3/6/2003 1:09;J10
(Conference Room);3/6/2003 1:09;3/6/2003 1:09;J11
( );3/6/2003 2:08;3/6/2003 2:08;P15
( );3/6/2003 2:13;3/6/2003 2:18;P15
(Dining Room);3/6/2003 2:14;3/27/2003 2:10;I15
(Dining Room);3/6/2003 2:14;3/6/2003 2:17;I16
(Living Room);3/6/2003 2:14;3/6/2003 2:17;H12
(Dining Room);3/6/2003 2:15;3/6/2003 2:17;I14
( );3/6/2003 10:01;3/6/2003 10:41;O7
(Dining Room);3/6/2003 10:01;3/6/2003 10:01;I11
(Dining Room);3/6/2003 10:01;3/6/2003 10:10;I14
(Studio C);3/6/2003 10:01;3/6/2003 10:40;C9
(Studio A);3/6/2003 10:02;3/6/2003 10:40;A14
(Studio B);3/6/2003 10:02;3/6/2003 10:40;B9
(Dining Room);3/6/2003 10:13;3/6/2003 10:17;I14
(Studio D);3/6/2003 10:13;3/6/2003 10:50;D9
(Studio D);3/6/2003 10:15;3/6/2003 10:50;D11
(Dining Room);3/6/2003 10:26;3/6/2003 10:30;I11
(Dining Room);3/6/2003 10:26;3/6/2003 10:30;I16
(Conference Room);3/6/2003 10:27;3/12/2003 2:02;J11
(Dining Room);3/6/2003 10:27;3/6/2003 10:43;I14
(Dining Room);3/6/2003 10:41;3/6/2003 10:43;I11
(Living Room);3/6/2003 11:50;3/6/2003 11:52;H9
(Dining Room);3/6/2003 11:51;3/12/2003 7:45;I11
(Studio A);3/6/2003 11:53;3/6/2003 11:54;A11
(Studio A);3/6/2003 11:53;3/6/2003 11:54;A15
(Studio D);3/7/2003 7:04;3/7/2003 11:12;D9
(Studio D);3/8/2003 7:27;3/8/2003 7:33;D9
(Studio D);3/8/2003 10:28;3/8/2003 10:31;D9
(Studio D);3/8/2003 10:29;3/8/2003 10:31;D11
(Conference Room);3/9/2003 5:08;3/9/2003 5:08;J10
(Living Room);4/10/2003 1:03;4/17/2003 2:43;H12
(Living Room);4/10/2003 1:03;4/10/2003 2:21;H13
(Dining Room);4/10/2003 1:04;4/10/2003 2:21;I11
(Dining Room);4/10/2003 1:04;4/11/2003 9:52;I16
(Dining Room);4/10/2003 10:00;4/10/2003 10:16;I14
(Studio A);4/10/2003 10:00;4/11/2003 10:48;A14
(Studio B);4/10/2003 10:00;4/10/2003 10:37;B9
(Studio C);4/10/2003 10:00;4/11/2003 4:12;C9
(Dining Room);4/10/2003 10:16;4/10/2003 10:16;I14
(Living Room);4/10/2003 10:29;4/17/2003 2:43;H12
(Living Room);4/10/2003 10:29;4/14/2003 10:51;H13
(Studio C);4/10/2003 10:32;4/10/2003 10:32;C14
(Living Room);4/10/2003 10:36;4/11/2003 4:16;H11
(Studio D);4/10/2003 10:36;4/11/2003 10:58;D9
(Studio E);4/10/2003 10:36;4/11/2003 4:15;E9
(Studio C);4/10/2003 10:37;4/11/2003 4:11;C8
(Studio C);4/10/2003 10:37;4/11/2003 4:12;C9
(Studio B);4/10/2003 10:38;4/11/2003 4:15;B9
(Studio C);4/11/2003 4:17;4/11/2003 4:20;C12
(Conference Room);4/11/2003 10:22;4/11/2003 10:23;J10
(Conference Room);4/11/2003 10:22;4/11/2003 10:22;J11
(Conference Room);4/11/2003 10:22;4/11/2003 10:22;J12
(Studio A);4/11/2003 11:21;4/11/2003 11:21;A11
(Conference Room);4/11/2003 11:35;4/11/2003 11:49;J16
(Studio A);4/11/2003 11:37;4/11/2003 11:38;A15
(Dining Room);4/11/2003 11:38;4/11/2003 11:38;I11
(Studio A);4/11/2003 11:38;4/11/2003 11:38;A15
(Conference Room);4/11/2003 11:49;4/11/2003 11:49;J16
(Conference Room);4/11/2003 12:04;4/11/2003 12:04;J16
(Studio B);4/11/2003 12:04;3/27/2003 6:43;B15
(Conference Room);4/11/2003 12:05;4/11/2003 12:04;J16
(Studio F);4/11/2003 12:05;4/11/2003 12:05;F16
(Studio F);4/11/2003 12:07;3/6/2003 10:42;F12
(Conference Room);4/11/2003 2:56;4/11/2003 9:47;J10
(Conference Room);4/11/2003 2:56;4/11/2003 10:38;J11
(Conference Room);4/11/2003 9:46;4/11/2003 9:47;J10
(Conference Room);4/11/2003 9:46;4/11/2003 10:38;J11
(Conference Room);4/11/2003 9:46;4/11/2003 10:31;J12
(Dining Room);4/11/2003 9:47;4/11/2003 9:47;I14
(Dining Room);4/11/2003 9:48;4/11/2003 9:48;I14
(Conference Room);4/11/2003 9:49;4/11/2003 9:50;J10
(Conference Room);4/11/2003 9:49;4/11/2003 10:31;J12
(Conference Room);4/11/2003 9:50;4/11/2003 9:50;J10
(Dining Room);4/11/2003 9:51;4/11/2003 9:51;I14
(Dining Room);4/11/2003 9:52;4/11/2003 9:52;I16
(Dining Room);4/11/2003 10:03;4/11/2003 10:07;I14
(Studio A);4/11/2003 10:03;4/11/2003 10:48;A14
(Studio B);4/11/2003 10:03;4/15/2003 10:57;B9
(Studio C);4/11/2003 10:03;4/11/2003 10:48;C9
(Dining Room);4/11/2003 10:16;4/11/2003 10:26;I14
(Dining Room);4/11/2003 10:17;4/11/2003 10:26;I14
(Studio E);4/11/2003 10:17;4/11/2003 10:58;E9
(Studio D);4/11/2003 10:18;4/14/2003 10:57;D11
(Studio D);4/11/2003 10:18;4/11/2003 10:58;D9
(Living Room);4/11/2003 10:30;4/14/2003 10:51;H13
(Conference Room);4/11/2003 10:31;4/14/2003 10:45;J10
(Conference Room);4/11/2003 10:31;4/11/2003 10:31;J12
(Conference Room);4/11/2003 10:38;4/11/2003 10:38;J11
(Dining Room);4/11/2003 10:48;4/11/2003 10:55;I11
(Dining Room);4/11/2003 10:48;4/14/2003 10:22;I14
(Studio B);4/12/2003 4:48;4/12/2003 4:54;B12
(Studio B);4/12/2003 4:55;4/12/2003 4:55;B12
(Studio B);4/12/2003 4:58;4/13/2003 5:28;B12
(Studio C);4/14/2003 4:29;4/14/2003 4:29;C12
(Dining Room);4/14/2003 10:05;4/14/2003 10:22;I14
(Studio A);4/14/2003 10:06;4/14/2003 10:52;A14
(Studio B);4/14/2003 10:06;4/15/2003 10:57;B9
(Studio C);4/14/2003 10:06;4/14/2003 10:52;C9
(Dining Room);4/14/2003 10:13;4/14/2003 10:22;I14
(Studio D);4/14/2003 10:13;4/14/2003 10:57;D11
(Studio E);4/14/2003 10:13;4/14/2003 10:57;E9
(Dining Room);4/14/2003 10:32;4/14/2003 10:40;I11
(Dining Room);4/14/2003 10:32;4/14/2003 10:40;I16
(Living Room);4/14/2003 10:36;4/17/2003 2:43;H12
(Living Room);4/14/2003 10:36;4/14/2003 10:51;H13
(Conference Room);4/14/2003 10:39;4/14/2003 10:45;J10
(Conference Room);4/14/2003 10:39;4/15/2003 1:03;J12
(Conference Room);4/14/2003 10:45;4/15/2003 2:05;J11
(Dining Room);4/14/2003 10:49;4/14/2003 10:57;I11
(Dining Room);4/14/2003 10:49;4/15/2003 7:08;I14
(Living Room);4/15/2003 1:02;4/24/2003 2:00;H13
(Conference Room);4/15/2003 1:03;4/16/2003 10:33;J10
(Conference Room);4/15/2003 1:03;4/15/2003 1:03;J12
(Dining Room);4/15/2003 1:03;4/15/2003 2:06;I11
(Conference Room);4/15/2003 2:05;4/15/2003 2:05;J11
(Dining Room);4/15/2003 7:05;4/15/2003 7:08;I14
(Studio F);4/15/2003 7:06;4/15/2003 7:28;F12
(Dining Room);4/15/2003 7:12;4/15/2003 7:16;I11
(Dining Room);4/15/2003 7:12;4/15/2003 7:15;I14
(Conference Room);4/15/2003 7:21;4/16/2003 10:33;J10
(Conference Room);4/15/2003 7:21;4/15/2003 10:37;J12
(Conference Room);4/15/2003 7:28;4/16/2003 10:33;J10
(Conference Room);4/15/2003 7:28;4/24/2003 2:01;J11
(Studio A);4/15/2003 9:59;4/16/2003 10:44;A14
(Studio B);4/15/2003 9:59;4/15/2003 10:57;B9
(Studio C);4/15/2003 9:59;4/16/2003 10:44;C9
(Dining Room);4/15/2003 10:14;4/15/2003 10:25;I14
(Studio D);4/15/2003 10:14;4/15/2003 10:58;D11
(Studio E);4/15/2003 10:14;4/15/2003 10:58;E9
(Dining Room);4/15/2003 10:34;4/15/2003 10:42;I16
(Living Room);4/15/2003 10:35;4/24/2003 2:00;H13
(Conference Room);4/15/2003 10:36;4/16/2003 10:33;J10
(Conference Room);4/15/2003 10:37;4/15/2003 10:37;J12
(Conference Room);4/15/2003 10:47;4/24/2003 2:01;J11
(Dining Room);4/15/2003 10:48;4/15/2003 10:52;I14
(Studio A);4/16/2003 9:58;4/16/2003 10:44;A14
(Studio B);4/16/2003 9:58;4/25/2003 6:59;B9
(Studio C);4/16/2003 9:58;4/16/2003 10:44;C9
(Dining Room);4/16/2003 10:16;4/16/2003 10:18;I14
(Dining Room);4/16/2003 10:25;4/16/2003 10:26;I14
(Studio D);4/16/2003 10:25;4/24/2003 11:02;D11
(Studio E);4/16/2003 10:25;4/16/2003 11:04;E9
(Conference Room);4/16/2003 10:26;4/16/2003 10:33;J10
(Conference Room);4/16/2003 10:26;4/16/2003 10:26;J12
(Conference Room);4/16/2003 10:32;4/24/2003 2:01;J11
(Dining Room);4/16/2003 10:33;4/16/2003 10:44;I11
(Dining Room);4/16/2003 10:44;4/16/2003 10:55;I14
(Living Room);4/17/2003 12:53;3/6/2003 2:17;H12
(Dining Room);4/17/2003 12:54;3/3/2003 7:14;I16
(Living Room);4/17/2003 1:33;4/24/2003 2:00;H13
(Conference Room);4/17/2003 1:34;4/17/2003 1:34;J12
(Dining Room);4/17/2003 1:34;4/17/2003 2:41;I11
(Conference Room);4/2/2003 10:36;4/3/2003 9:29;J11
(Studio D);4/2/2003 10:51;4/2/2003 10:51;D9
(Studio E);4/2/2003 10:51;4/2/2003 10:52;E9
(Studio F);4/2/2003 11:06;4/2/2003 11:06;F12
